CHK  121.3730 23.0978  -176.0 0 2 CWB  BB    BB  4.0906E-07 3.9960E-07 4.0208E-07 -1  10.0 20071003 20081216
CHK  121.3730 23.0978    34.0 0 1 CWB  BB    BB  5.8628E-08 5.7966E-08 5.8871E-08  1   0.0 20050409 20080712
CHK  121.3730 23.0978    34.0 0 1 CWB  BB    BB  5.8813E-08 5.7867E-08 5.8787E-08  1   0.0 20080825 20120610
CHK  121.3730 23.0978    34.0 0 1 CWB  BB    BB  5.8813E-08 5.7867E-08 5.8787E-08 -1   0.0 20080712 20080721
CHK  121.3730 23.0978    34.0 0 1 CWB  BB    BB  5.8628E-08 5.7966E-08 5.8871E-08  1   0.0 20031217 20040623
CHK  121.3730 23.0977    34.0 0 1 CWB  BB    FBA 3.4222E-04 3.4222E-04 3.4222E-04  1   0.0 20080712 20080721
CHKH 121.3957 23.1917   -93.0 1 2 CWB  BH    BB  1.5099E-07 1.4772E-07 1.6072E-07  1 100.0 20171006 99999999
CHKH 121.3957 23.1917   -93.0 1 2 CWB  BH    FBA 6.4038E-04 6.3547E-04 6.3963E-04  1 100.0 20171006 99999999
CHKH 121.3957 23.1917     7.0 0 1 CWB  BH    FBA 6.4186E-04 6.4803E-04 6.3907E-04  1   0.0 20171006 20200617
CHKH 121.3957 23.1917     7.0 1 1 CWB  BH    FBA 3.1153E-04 3.1153E-04 3.1153E-04  1   0.0 20200617 99999999
CHN1 120.5285 23.1850   217.0 1 1 CWB  SMT   SP  8.8859E-07 8.8859E-07 8.8859E-07  1   0.0 20091001 99999999
CHN1 120.5285 23.1850   217.0 1 1 CWB  SMT   FBA 3.1153E-04 3.1153E-04 3.1153E-04  1   0.0 20091001 99999999
CHN2 120.4744 23.5319    45.0 1 1 CWB  SMT   FBA 3.1153E-04 3.1153E-04 3.1153E-04  1   0.0 20091001 99999999
CHN2 120.4744 23.5319    45.0 1 1 CWB  SMT   SP  8.8859E-07 8.8859E-07 8.8859E-07  1   0.0 20091001 99999999
CHN3 120.3643 23.0751    50.0 1 1 CWB  SMT   FBA 3.1153E-04 3.1153E-04 3.1153E-04  1   0.0 20081015 99999999
CHN3 120.3643 23.0751    50.0 1 1 CWB  SMT   SP  8.8859E-07 8.8859E-07 8.8859E-07  1   0.0 20081015 99999999
CHN4 120.5940 23.3513   957.0 1 1 CWB  SMT   SP  8.8859E-07 8.8859E-07 8.8859E-07  1   0.0 20091001 99999999
CHN4 120.5940 23.3513   957.0 1 1 CWB  SMT   FBA 3.1153E-04 3.1153E-04 3.1153E-04  1   0.0 20091001 99999999
CHN5 120.6776 23.5973   840.0 1 1 CWB  SMT   SP  8.8859E-07 8.8859E-07 8.8859E-07  1   0.0 20081121 99999999
CHN5 120.6776 23.5973   840.0 1 1 CWB  SMT   FBA 3.1153E-04 3.1153E-04 3.1153E-04  1   0.0 20081121 99999999
CHN8 120.2227 23.3474     6.0 1 1 CWB  SMT   SP  8.8859E-07 8.8859E-07 8.8859E-07  1   0.0 20091001 99999999
CHN8 120.2227 23.3474     6.0 1 1 CWB  SMT   FBA 3.1153E-04 3.1153E-04 3.1153E-04  1   0.0 20091001 99999999
