city,lat,lon,depth
199,22.3558,120.9036,0.008
200,23.5226,120.2278,0.055
201,26.3989,117.645,0.414
202,24.0795,120.5583,-0.263
203,24.4284,121.3829,0.808
204,24.9679,121.1849,-0.144
205,22.7533,120.3352,-0.379
206,22.0204,120.837,-0.247
207,22.3508,120.3788,-0.153
208,23.7082,117.426,0.054
209,26.8382,128.2642,0.22
210,24.3465,120.7809,0.286
211,22.5663,120.3158,0.002
212,24.8544,121.8297,-0.293
213,24.6836,120.8703,0.005
214,24.2864,122.3174,-1.114
215,25.1813,121.5693,0.363
216,22.28,114.14,0.196
217,21.9598,120.7496,0.055
218,23.1794,120.7811,0.55
219,24.3978,120.9858,1.354
220,24.1208,122.3179,-2.732
221,24.4189,122.2319,-0.945
222,17.55,120.45,0.1
223,20.701,116.7306,0.038
224,24.0211,121.4133,1.327
225,23.7178,121.3862,0.3314
226,24.5757,121.8439,-0.067
227,23.7875,121.5627,-0.115
228,24.3293,121.7393,-0.049
229,23.1917,121.3957,-0.093
230,25.1621,121.5447,0.438
231,25.2878,121.5886,0.055
232,23.7148,120.5386,0.052
233,24.0718,120.5468,0.022
234,24.7766,121.176,-0.032
235,23.9026,120.3781,-0.459
236,23.4938,121.3451,0.018
237,24.2563,120.5232,0.008
238,24.634,121.7168,-0.065
239,22.2043,122.1877,-4.802
