A060 121.7303 25.1550    54.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181130 99999999
A061 121.7608 25.1316    45.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181130 20221122
A061 121.7608 25.1316    45.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20221214 99999999
A063 121.7382 25.1055    47.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181130 99999999
A065 121.7733 25.1493    26.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2200E-04 3.2300E-04  1   0.0 20181130 99999999
A066 121.5293 25.1828   834.0 0 1 CWB  CSMT  FBA 3.2500E-04 3.2300E-04 3.2300E-04  1   0.0 20181130 99999999
A067 121.5922 24.9779   292.0 0 1 CWB  CSMT  FBA 3.2400E-04 3.2300E-04 3.2300E-04  1   0.0 20181130 99999999
A069 121.9972 25.0068   122.0 0 1 CWB  CSMT  FBA 3.2100E-04 3.2200E-04 3.2200E-04  1   0.0 20181130 99999999
A070 121.9197 25.1218    39.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20211119 99999999
A071 121.6167 25.0017    45.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181130 99999999
A072 121.6587 24.9906   111.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181130 99999999
A075 121.7366 25.0277   228.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181018 20220810
A075 121.7366 25.0277   228.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20220810 20221026
A075 121.7366 25.0277   228.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20221026 99999999
A076 121.7782 25.0435   182.0 0 1 CWB  CSMT  FBA 3.2200E-04 3.1900E-04 3.2400E-04  1   0.0 20211227 99999999
A077 121.8512 25.0625    98.0 0 1 CWB  CSMT  FBA 3.2000E-04 3.2600E-04 3.2300E-04  1   0.0 20211227 99999999
A078 121.8666 25.0336    36.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181130 20220923
A079 121.9147 25.0219    25.0 0 1 CWB  CSMT  FBA 3.1800E-04 3.2000E-04 3.2100E-04  1   0.0 20211119 99999999
A082 121.9258 25.0550    15.0 0 1 CWB  CSMT  FBA 3.2100E-04 3.2400E-04 3.2200E-04  1   0.0 20211223 99999999
A083 121.5027 25.2580    73.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181203 99999999
A084 121.6373 25.2226    13.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181203 20201231
A084 121.6373 25.2226    13.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20201231 99999999
A085 121.7122 24.9383   205.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181203 99999999
A087 121.4234 25.1015   104.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2200E-04 3.2000E-04  1   0.0 20181203 99999999
A103 121.7814 25.0715   728.0 0 1 CWB  CSMT  FBA 3.2100E-04 3.2100E-04 3.2200E-04  1   0.0 20181203 99999999
A107 121.7407 25.1328     9.0 0 1 CWB  CSMT  FBA 3.2100E-04 3.2100E-04 3.2100E-04  1   0.0 20181203 99999999
A109 121.5692 25.0408    10.0 0 1 CWB  CSMT  FBA 3.2400E-04 3.2300E-04 3.2400E-04  1   0.0 20181203 99999999
A111 121.7462 25.1304    11.0 0 1 CWB  CSMT  FBA 3.2100E-04 3.2200E-04 3.2200E-04  1   0.0 20210906 99999999
A112 122.0798 25.6281   102.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2300E-04 3.2300E-04  1   0.0 20181203 99999999
A114 121.6606 25.2021    17.0 0 1 CWB  CSMT  FBA 3.1900E-04 3.2300E-04 3.2100E-04  1   0.0 20190227 99999999
A115 121.4650 24.9899    18.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181203 99999999
A119 121.5415 24.9834    24.0 0 1 CWB  CSMT  FBA 3.2200E-04 3.2500E-04 3.2400E-04  1   0.0 20211129 99999999
